academy award,1,1,1,1
access card,0,0,0,0
accounting book,0,0,0,0
acting course,0,0,0,0
action figure,1,1,1,1
action film,0,0,0,0
action movie,0,0,0,0
adjustment process,0,0,0,0
advertising contract,0,0,0,0
advertising designer,0,0,0,0
advertising purpose,0,0,0,0
age limit,0,0,0,0
air bag,0,0,0,0
air force,0,1,1,0
air mail,0,0,0,0
alcohol bottle,0,0,0,0
animal anatomy,0,0,0,0
animal bones,0,0,0,0
animal brain,0,0,0,0
animal life,0,0,0,0
animal matter,0,0,0,0
ankle injury,0,0,0,0
approval rating,0,0,0,0
approval requirements,0,0,0,0
arcade game,1,0,0,1
area director,0,0,0,0
arm wrestling,0,0,0,0
army camp,0,0,0,0
army officer,0,0,0,0
art collection,0,0,0,0
art form,0,0,0,0
art school,0,0,0,0
art group,0,0,0,0
assembly line,0,0,0,0
attack damage,0,0,0,0
automobile accident,0,0,0,0
back door,0,0,0,0
back pain,0,0,0,0
back pocket,0,0,0,0
background check,0,0,0,0
background color,0,0,0,0
background target,0,0,0,0
backup anchor,0,0,0,0
backup file,0,0,0,0
backup operation,0,0,0,0
backup repository,0,0,0,0
band aid,1,1,1,1
band member,0,0,0,0
bank account,0,0,0,0
bank building,0,0,0,0
bass player,0,0,0,0
bastard son,0,0,0,0
battle cry,1,1,1,1
bead maker,0,0,0,0
belief system,0,0,0,0
bird species,0,0,0,0
birth certificate,0,0,0,0
birth control,0,0,0,0
birth defect,0,0,0,0
birth name,0,0,0,0
birth place,0,0,0,0
blank shells,1,1,1,1
blood bath,1,1,1,1
blood cell,0,0,0,0
blood pressure,0,0,0,0
blood sugar,0,0,0,0
blood test,0,0,0,0
board game,0,1,0,0
boat house,0,0,0,0
body fat,0,0,0,0
body language,0,0,0,0
body mass,0,0,0,0
body parts,0,0,0,0
body structure,0,0,0,0
body symmetry,0,0,0,0
body wall,0,1,0,0
body whorl,1,1,1,1
boiling process,0,0,0,0
bomb burst,0,0,0,0
bone marrow,1,0,0,1
bone problem,0,0,0,0
bony fish,0,0,0,0
book character,0,0,0,0
book review,0,0,0,0
border guards,0,0,0,0
bounty hunter,1,0,0,1
bow saw,0,1,0,0
bowl shape,0,0,0,0
box office,1,1,1,1
brain death,0,0,0,0
brain drain,1,1,1,1
brain volume,0,0,0,0
brand awareness,0,0,0,0
brand image,1,0,0,1
brand name,1,0,0,1
brass knuckles,1,1,1,1
break point,1,1,0,1
breast cancer,0,0,0,0
bridge structure,0,0,0,0
brightness scale,0,0,0,0
building blocks,1,0,0,0
building window,0,0,0,0
bull market,1,1,1,1
bullet hole,0,0,0,0
bullet proof,0,0,0,0
bulletin board,0,0,0,0
burial place,0,0,0,0
bus service,0,0,0,0
bus stop,0,0,0,0
bus system,0,0,0,0
bus terminal,0,0,0,0
bus travel,0,0,0,0
bus types,0,0,0,0
business activity,0,0,0,0
business associate,0,0,0,0
business computer,0,0,0,0
business contact,0,0,0,0
business deal,0,0,0,0
business law,0,0,0,0
business leader,0,0,0,0
business man,0,0,0,0
business model,0,0,0,0
business news,0,0,0,0
business park,1,1,0,1
business plan,0,0,0,0
business representative,0,0,0,0
business trip,0,0,0,0
cable car,0,0,0,0
cadet branch,1,1,1,1
calendar year,0,0,0,0
call centre,1,1,0,0
calorie intake,0,0,0,0
camp rules,0,0,0,0
cancer insurance,0,0,0,0
cancer screening,0,0,0,0
cancer specialist,0,0,0,0
capital crime,1,0,1,0
capital market,1,1,0,1
capital punishment,1,0,1,1
car chase,0,0,0,0
car door,0,0,0,0
car key,0,0,0,0
car maker,0,0,0,0
car wash,0,0,0,0
card game,0,0,0,0
card reader,0,0,0,0
cargo capacity,0,0,0,0
cargo facility,0,0,0,0
cargo shipping,0,0,0,0
cargo transport,0,0,0,0
carnival crowd,0,0,0,0
carnival people,0,0,0,0
case law,1,1,0,1
case study,0,0,0,0
cash crop,1,1,0,1
cash flow,1,0,0,0
cash machine,0,1,0,0
cast iron,1,0,0,1
cast member,0,0,0,0
cat fight,1,1,1,1
cat flap,0,1,0,0
